datetime,open,high,low,close,volume,Heiken_Close,Heiken_Open,Heiken_High,Heiken_Low,EMA6,EMA10,EMA20,EMA50,MACD,MACD_Signal_Line,RSI_smoothed,Chaikin_volatility,KST,KST_signal,Hawkes_close,Bull_Power,Bear_Power,Plus_DI,Minus_DI,Plus_DI_s,Minus_DI_s,Aroon_Oscillator,pct_change_5,rolling_threshold,filtered_price,Chebyshev_Filtered,signals,trade_type
2019-09-08 16:00:00,10000.0,10000.0,10000.0,10000.0,0.002,10000.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,9900.990099009901,9930.747644748062,0,
2019-09-08 18:00:00,10344.77,10357.53,10337.43,10340.12,471.659,10344.9625,10000.0,10357.53,10000.0,,,,,,,,,,,620.4072,,,,,,,,,,10119.46379533715,10114.990769717188,0,
2019-09-08 20:00:00,10340.12,10391.9,10324.77,10391.9,1273.03,10362.1725,10172.48125,10391.9,10172.48125,,,,,,,,,,,1207.7914973403097,,,,,,,,,,10209.975683917048,10248.723964942881,0,
2019-09-08 22:00:00,10392.59,10412.65,10366.57,10391.63,1351.6,10390.86,10267.326875,10412.65,10267.326875,,,,,,,,,,,1760.952996159718,,,,,,,,,,10255.277607240956,10310.010010297046,0,
2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0.0,10391.63,10329.0934375,10391.63,10329.0934375,,,,,,,,,,,2281.9008770921423,,,,,,,,,,10282.495294253435,10308.482113276652,0,
2019-09-09 02:00:00,10316.62,10316.68,10267.37,10297.89,779.449,10299.640000000001,10360.361718749999,10360.361718749999,10267.37,10302.195,,,,,,,,,,2766.8867152001694,,,,,,,,0.029788999999999843,,10285.057045041143,10271.143191652205,0,
2019-09-09 04:00:00,10297.89,10316.34,10251.51,10304.32,1351.802,10292.515,10330.000859374999,10330.000859374999,10251.51,10302.802142857143,,,,,,,,,,3224.0149768209412,,,,,,,,-0.00346224221769198,,10287.80532849731,10228.718840590425,0,
2019-09-09 06:00:00,10304.32,10305.51,10092.71,10149.47,1312.987,10213.0025,10311.2579296875,10311.2579296875,10092.71,10258.992959183674,,,,,,,,,,3645.2311609144062,,,,,,,,-0.023328746427506042,,10270.531969876747,10205.399582525499,0,
2019-09-09 08:00:00,10149.47,10267.74,10077.22,10248.89,1434.716,10185.83,10262.13021484375,10267.74,10077.22,10256.106399416909,,,,,,,,,,4047.8828240653247,,,,,,,,-0.013736054882631521,,10268.129429705057,10208.560294461578,0,
2019-09-09 10:00:00,10249.57,10475.54,10196.76,10414.6,1031.769,10334.1175,10223.980107421874,10475.54,10196.76,10301.390285297792,10293.045,,,,,,,,,4437.028479809573,,,,,,,,0.0022104328194905154,,10282.766033231703,10225.510466253323,0,
